feature,ks_stat,p_value,bh_threshold,bh_reject
Age,0.0798611111111111,0.048858718486308385,0.002380952380952381,False
Depression_Score,0.059722222222222225,0.2488856491720676,0.004761904761904762,False
Life_Satisfaction_Score,0.052083333333333336,0.40585678262799785,0.007142857142857143,False
Work_Stress,0.050694444444444445,0.4398559822879848,0.009523809523809525,False
Anxiety_Score,0.043055555555555555,0.6485416376178581,0.011904761904761904,False
Employment_Status,0.041666666666666664,0.6882590177562306,0.014285714285714285,False
Physical_Activity_Hrs,0.04027777777777778,0.727549642186839,0.016666666666666666,False
Social_Support_Score,0.03333333333333333,0.8987570406835362,0.01904761904761905,False
Education_Level,0.03263888888888889,0.9119281847413757,0.02142857142857143,False
Sleep_Hours,0.02638888888888889,0.9860055098511183,0.023809523809523808,False
Meditation,0.022222222222222223,0.998510432780512,0.026190476190476195,False
Stress_Level,0.022222222222222223,0.998510432780512,0.02857142857142857,False
Gender,0.01875,0.9999367855446754,0.030952380952380953,False
Financial_Stress,0.01875,0.9999367855446754,0.03333333333333333,False
Loneliness_Score,0.018055555555555554,0.9999733546860008,0.03571428571428572,False
Family_History_Mental_Illness,0.013194444444444444,0.9999999991815368,0.0380952380952381,False
Self_Esteem_Score,0.013194444444444444,0.9999999991815368,0.04047619047619048,False
Chronic_Illnesses,0.0125,0.9999999999356085,0.04285714285714286,False
Medication_Use,0.010416666666666666,0.999999999999999,0.045238095238095244,False
Therapy,0.00625,1.0,0.047619047619047616,False
Substance_Use,0.004861111111111111,1.0,0.05,False
